# 3D Systems, Inc.
# New Model
-105.6027934 -28.0660931 874.4671345
-105.7368666 -27.4428688 874.3793368
-105.1923782 -27.4805799 874.1586208
-106.2387228 -27.6805833 874.6481538
-105.5395752 -27.0442143 874.2046952
-106.1032563 -26.9436128 874.4193316
-104.8989668 -28.0971099 874.1753697
-105.2198634 -28.5316929 874.4114041
-105.6463420 -28.7361294 874.6420741
-106.2754244 -28.4942370 874.8565316
-104.3442488 -27.4854433 873.8046885
-105.0255075 -26.7483797 873.9233613
-105.1965058 -29.0509630 874.5229244
-104.7480777 -28.7079904 874.2511272
-104.6704575 -29.3199234 874.3603230
-105.2867994 -29.7867674 874.7377396
-105.5988073 -29.2222165 874.7366071
-104.2807773 -28.3111595 873.9627004
-104.2162329 -28.9366748 874.0773797
-104.4034883 -29.9898852 874.4029403
-104.1654795 -29.4458494 874.1728663
-103.7906110 -29.7652967 874.0868568
-103.8268059 -30.2989706 874.2267489
-104.1992083 -30.7196621 874.4874001
-104.8783809 -30.5898543 874.7531176
-103.7884876 -28.0217733 873.6911416
-103.6568955 -27.6130419 873.5467792
-103.6378220 -27.0301495 873.4128475
-104.2700559 -26.5823863 873.5741973
-103.6857367 -28.6183208 873.7813830
-103.7435308 -29.2163640 873.9407659
-103.2410935 -30.1163569 873.9345670
-103.4969613 -30.9015010 874.2265105
-103.4536138 -27.8777666 873.5203147
-103.3090577 -28.2260533 873.5374212
-103.5651416 -31.7173563 874.4488358
-102.8534546 -31.4809494 874.0854263
-104.0094048 -31.2809423 874.5386004
-103.1034440 -32.0464112 874.3255734
-103.4392044 -32.2817825 874.5285869
-104.2069346 -31.8093710 874.7537136
-103.8435772 -32.2150216 874.6912479
-103.3607572 -29.5228492 873.8489747
-102.7810574 -30.6924153 873.8716841
-103.0604318 -27.6513174 873.3109832
-103.2406613 -29.0087834 873.6829162
-103.2203585 -28.6082029 873.5849857
-102.7872711 -29.5071155 873.6054897
-102.6430801 -30.1247556 873.6833930
-102.6462838 -28.5805762 873.3432889
-102.9973328 -32.6320641 874.4202852
-102.6618779 -32.1157463 874.1516471
-101.8780470 -27.4942610 872.7982044
-102.8431356 -26.7399047 873.0278015
-102.2872329 -31.0844965 873.7525940
-102.1646485 -30.4447003 873.5552430
-102.2775620 -32.6108560 874.1042614
-102.5851667 -33.2984440 874.4020462
-103.2292917 -33.2713202 874.6770024
-103.6850661 -32.7935629 874.7634292
-102.0787060 -31.8046026 873.8307357
-102.2417098 -29.8630074 873.4565973
-102.1378264 -29.3343030 873.2973933
