# 3D Systems, Inc.
# New Model
-55.5200018 -18.3610003 -82.0100009
-54.6215735 -18.9072601 -81.8481520
-54.7619984 -19.9040007 -81.8540007
-54.3722659 -18.3765944 -81.7661881
-56.1419576 -17.0723237 -81.8998739
-55.0918914 -17.6167451 -81.7686170
-54.1542731 -19.0883409 -81.8093419
-54.3636009 -18.7949706 -81.8064809
-53.6261126 -19.6066108 -81.8104222
-53.2388799 -20.2116519 -81.7356631
-52.3802638 -21.0244283 -81.4108178
-60.0900017 -9.0410002 -87.3380005
-59.7124510 -8.2377354 -87.4894485
-59.4060980 -8.7666595 -87.4716416
-60.3890009 -7.6199998 -87.4129981
-59.1381602 -9.1835009 -87.3744786
-59.2267588 -9.5291445 -87.0236233
-59.4389997 -9.8580001 -86.3709971
-58.9846745 -8.4558083 -87.5508115
-59.2865422 -7.8512905 -87.5155330
-59.8259084 -7.5978506 -87.4524638
-59.0492077 -8.8729430 -87.5115618
-58.8841885 -9.4980197 -87.2164145
-58.6110540 -9.0081673 -87.5278041
-58.6002283 -9.4062733 -87.3492733
-58.9858592 -9.7603435 -86.7005289
-58.7538630 -9.6600363 -87.0217159
-59.4360009 -10.5940001 -84.3409970
-59.1908135 -9.7980406 -84.9278644
-59.3678430 -10.0015337 -85.5181664
-58.9720607 -9.5165828 -85.6438056
-58.8606112 -9.7436737 -86.2877741
-59.0481013 -9.9719679 -84.2216089
-58.8995144 -10.4104728 -83.9530379
-58.6965233 -11.0420529 -83.8315859
-58.8687286 -12.0676020 -84.0316564
-58.8606447 -9.3011605 -84.4219998
-58.9240119 -9.3003567 -85.0410610
-58.3705865 -8.6325146 -87.5996798
-58.5461855 -8.2481150 -87.5936300
-58.8310026 -7.9899197 -87.5597000
-58.7740764 -9.9728806 -83.9078128
-58.6847812 -9.4825821 -83.9613676
-58.6158894 -10.1911090 -83.7514549
-58.5900396 -10.5478177 -83.7176144
-58.6329065 -9.5783351 -87.2040913
-58.2730807 -9.6674459 -87.1625915
-58.4946126 -9.7554978 -86.7336169
-58.0349751 -9.3874512 -87.4889418
-58.6235635 -8.7296162 -84.7385004
-58.7389804 -9.2568099 -85.5398476
-58.6209670 -8.9635812 -85.2469504
-58.4529117 -9.7438516 -83.6842656
-58.5197806 -8.8825505 -84.0069801
-58.5994422 -8.7264432 -84.3027011
-58.6311482 -9.4202068 -85.8836249
-58.1921041 -9.5302714 -86.1722454
-58.2316034 -9.7012352 -86.4963382
-58.3947562 -11.6267744 -83.6862922
-58.2589954 -12.0958854 -83.6555362
-58.1543595 -12.8110070 -83.6598128
-58.0655709 -9.0142256 -87.6141340
-58.2564361 -11.2098316 -83.5489780
-58.3607405 -10.7909879 -83.5731700
-58.3190694 -9.0710744 -85.6297389
-58.2213663 -9.0036308 -83.5868269
-58.2531877 -10.2722775 -83.4992751
-58.4610030 -8.2977433 -84.3820721
-58.1790321 -8.4430100 -85.0977972
-58.3133772 -8.0214338 -84.6448690
-57.8755811 -11.6917314 -83.3919793
-58.3757274 -8.3392886 -84.0491951
-57.8805916 -8.7168384 -87.6257047
-58.1376515 -8.3283940 -87.6000226
-58.2545437 -8.4806345 -83.7551281
-58.0034405 -9.6237259 -83.3679065
-57.9233952 -10.8714066 -83.2964852
-57.9908788 -12.2560523 -83.5331604
-58.1053905 -9.7280089 -86.8628696
-57.6996952 -9.6377274 -87.2922465
-57.8559786 -9.7133117 -87.0381817
-57.7798970 -9.2187366 -87.6080394
-57.7333272 -9.0208910 -87.6276717
-58.1431650 -9.7287335 -86.6630599
-57.9191707 -8.2454756 -83.4260136
-48.8187708 -13.9625184 90.5758068
-49.1475537 -13.6506502 90.3533921
-48.6540534 -13.4992981 90.0214911
-58.1326261 -7.9766018 -83.7352350
-57.7807464 -9.6926745 -86.7198184
-57.8499809 -9.1179227 -85.7788771
-57.8976162 -8.7825358 -85.4402035
-57.6149970 -10.2037378 -83.0891430
-57.8197427 -9.1474969 -83.2522437
-57.7547550 -8.6835148 -83.2196996
-57.6363020 -9.3754409 -87.5648633
-57.6016009 -9.5101781 -87.4710307
-58.2638867 -13.3481761 -83.6623386
-57.4267618 -13.0797634 -83.4043026
-57.6776788 -13.6994785 -83.3153799
-57.6761067 -14.2949633 -83.1429735
-57.8324385 -9.5967371 -86.3950253
-57.5207733 -9.3562864 -86.0996172
-57.6569550 -12.3885609 -83.4346637
-57.4599057 -9.2125107 -87.6024067
-57.5097017 -9.5044598 -83.0525085
-57.4971177 -8.9109708 -87.6237303
-57.7928461 -8.4381420 -87.6094922
-57.5782321 -8.6406572 -87.6124129
-57.3250279 -8.8699972 -85.4744837
-57.5735606 -11.2003209 -83.0963105
-57.3987141 -11.5762427 -83.0917954
-57.3849380 -11.9887060 -83.2446143
-57.4228503 -10.7824737 -82.9460248
-57.7354804 -8.4989546 -85.1827264
-57.5212389 -9.0070320 -83.0547586
-57.4328676 -9.7164838 -87.0944187
-57.4883297 -8.4632123 -85.0029066
-57.6554164 -8.0464212 -84.8353878
-57.3358536 -9.4717862 -87.5526145
-57.5384535 -8.2313381 -83.1268951
-57.3319755 -8.5992673 -82.9931349
-57.4609041 -13.9700808 -83.1000581
-57.4363023 -13.6701353 -83.1910744
-57.4931726 -9.5475717 -86.4802152
-57.2462305 -9.6196411 -86.7848545
-57.5331040 -8.3823269 -87.5408128
-57.8565560 -8.1039090 -87.5203684
-57.3154576 -9.6373614 -87.4097943
-57.4038103 -9.7091356 -87.2901678
-57.1103469 -7.9409080 -82.9811394
-57.5479269 -7.6907817 -83.1805095
-57.2235174 -14.2483711 -82.8283727
-57.1561642 -15.0786694 -82.5546011
-56.9506884 -9.9591129 -82.8443393
-57.1542457 -10.4588065 -82.7965960
-57.0467375 -12.4101164 -83.3793879
-57.2141819 -13.5594271 -83.0535069
-57.1703240 -11.2587027 -82.8264430
-57.2196357 -8.7270625 -87.5338763
-57.1618229 -9.1515696 -82.9291791
-57.1496561 -9.0923067 -87.5954479
-57.1147837 -9.3603618 -87.5806287
-57.2985522 -8.4668035 -84.5037401
-57.2075732 -8.6812498 -84.9752352
-57.1092702 -8.8620000 -84.0390399
-57.1129248 -9.0073226 -84.4620913
-48.6388393 -14.3831540 90.6141698
-48.7776510 -14.6781309 90.6035006
-56.9918901 -10.8346539 -82.6917663
-57.1163073 -9.4265733 -86.4330828
-56.9632128 -11.8988426 -83.0478743
-56.9691099 -9.1731856 -86.0293433
-57.0468754 -9.2826346 -84.0927437
-57.0232086 -9.1740200 -83.7813765
-56.9320247 -8.8103665 -83.5685506
-57.0213236 -8.3945449 -83.9338154
-57.2535358 -13.8707878 -82.9766393
-56.7750409 -9.3859984 -84.7779214
-56.9718592 -9.4382344 -84.3680352
-56.5705672 -8.9003649 -85.2599964
-56.6617064 -8.9537036 -85.7103392
-57.2175793 -9.7002033 -87.2722790
-56.9384471 -9.6830865 -87.1601477
-56.9535010 -8.5589020 -82.9888433
-56.9945090 -9.5641231 -87.4847472
-56.9424853 -9.2296395 -83.5043415
-56.9962896 -9.4564222 -83.8629529
-56.9702350 -9.4103375 -83.6603120
-56.9080561 -14.4161088 -82.5211704
-56.8910837 -13.8363866 -82.6558396
-56.7694008 -8.3124451 -83.5475102
-56.9367968 -9.7565800 -84.0720311
-56.8124205 -11.2121869 -82.5773254
-56.8231568 -11.6406521 -82.5980008
-56.9340698 -9.6709989 -83.7149322
-56.8827949 -9.5403390 -83.4489465
-56.7056052 -7.9019088 -83.8806555
-57.1748763 -7.9680504 -84.3495578
-56.6888787 -14.6572283 -82.3032930
-56.5151945 -14.9497269 -82.1637437
-56.4800985 -15.2347852 -82.1335614
-56.2769286 -15.7222915 -82.0183232
-56.3599579 -15.9215033 -82.0614621
-56.7981787 -10.5034858 -82.6412365
-57.0443347 -9.6667875 -87.3521790
-56.8518452 -9.7254189 -84.4388530
-56.8815619 -10.0371223 -83.7394446
-56.8532236 -9.8426472 -83.5172459
-56.8368547 -10.4135787 -84.0477347
-56.8046942 -10.0516928 -84.3300670
-56.5671995 -14.2457942 -82.2850615
-56.7971319 -9.5166219 -86.8083388
-56.5152057 -10.8946841 -82.5186521
-56.9122881 -13.2052433 -82.9751343
-42.3246101 -15.4844522 -77.5402635
-42.5304361 -15.6375133 -77.5996968
-42.3341952 -15.5683476 -77.4298385
-56.8065420 -10.4662618 -83.6325213
-56.8036325 -10.0987656 -83.4843069
-57.0370257 -8.9553893 -87.5453949
-56.9377840 -8.8765416 -87.4789283
-56.9118150 -8.6067645 -87.2269794
-57.2672747 -8.3099324 -87.3575807
-56.8264239 -12.0890336 -83.2707211
-56.6872470 -12.1661192 -82.7036202
-56.7844026 -11.7659448 -83.4241882
-56.6567741 -9.9496366 -84.5992044
-56.7160398 -8.4042242 -83.2137764
-56.4768761 -7.9560243 -83.3694115
-56.8767451 -9.2100445 -83.1522942
-56.4722866 -10.4118725 -82.6619193
-48.1669679 21.4621760 86.9365633
-48.0500571 21.9874866 86.7777467
-48.4883077 21.8428988 87.0567337
-56.7815043 -11.1460211 -83.7808177
-56.6057675 -10.3928642 -84.4241157
-56.5757304 -10.9374551 -84.2234418
-56.7342900 -9.9205915 -83.2085311
-56.2726036 -14.5842051 -82.0454434
-56.7059256 -9.2938505 -86.4151567
-43.3004387 5.8369702 -64.6165535
-43.4912406 5.9189619 -64.5044371
-43.3003046 6.0194898 -64.7792891
-55.2816540 0.2498831 -84.9301666
-55.4583967 0.5726466 -85.4477510
-54.9541116 0.8645109 -84.8483145
-54.9343117 -4.6773362 -82.2318196
-55.3596728 -4.6297470 -82.2518319
-54.9457744 -4.3130158 -82.2466761
-57.0276789 -12.7390698 -83.5138485
-56.5363504 -12.4940574 -83.5580155
-56.5907881 -12.2241406 -83.6283267
-56.6958115 -10.3037572 -83.3621100
-47.7823541 22.4478692 86.5234509
-48.2227132 22.8367876 86.5609646
-48.4653860 22.3912299 86.8369043
-56.4334244 -11.5257241 -82.3963732
-56.2951043 -13.7591101 -82.1671784
-56.6006564 -13.2994102 -82.4489444
-56.6217154 -10.7743926 -83.3880827
-55.9456199 -15.1876966 -81.8429217
-56.9502637 -9.2810430 -87.5535756
-56.8822473 -9.1094011 -87.5128955
-56.6124469 -11.8939383 -82.4334174
-56.6066504 -12.7420658 -82.6549754
-56.2930964 -12.2186840 -82.2886527
-56.5639362 -11.5526151 -83.9424282
-56.5443598 -11.4730783 -83.3551884
-56.8889715 -9.4462642 -87.5530988
-56.5311052 -9.0412488 -86.1162096
-56.4628504 -9.8274117 -84.7753510
-56.3423112 -9.6027926 -84.8677158
-56.2305078 -9.1920355 -84.9706158
-56.3094132 -10.2498075 -84.6773386
-56.3390218 -10.7179098 -84.4999254
-56.5099791 -10.3848064 -83.1287652
-56.8061620 -9.6834451 -87.3817950
-56.5328710 -10.2308681 -82.8803331
-56.1587028 -11.2653142 -84.3958408
-51.3482578 19.1349126 89.7540897
-51.6174398 19.4853861 89.6944702
-51.8058017 19.1409867 89.9629518
-56.3392118 -10.8697563 -83.0916911
-55.6224920 -16.0358977 -81.7134455
-56.2905595 -14.2010283 -82.0885301
-56.6912778 -7.9414463 -82.9952136
-42.1715081 -15.4027538 -77.3908645
-41.9793352 -15.1705071 -77.1283805
-42.1576053 -15.2589297 -77.3900449
-35.3432931 -12.0926052 83.2730159
-35.5965346 -11.7066028 83.3167955
-35.8051360 -12.2622568 83.5325792
-42.1101674 -15.0502212 -77.1908537
-56.3125387 -12.9081476 -82.2327957
-56.3249215 -13.3013017 -82.2014585
-56.6977039 -9.6088452 -87.0931149
-56.7328781 -9.6901646 -87.2978047
-56.6991642 -9.6651437 -87.2229263
-56.7520708 -9.6157352 -87.4433592
-56.7846783 -9.5279049 -87.4985531
-55.9836924 -14.2085645 -81.9235966
-55.8630899 -14.6285705 -81.8196982
-56.1947860 -9.9176057 -84.8360211
-56.2637672 -11.8234539 -84.0801522
-56.0552105 -12.1969692 -84.0390027
-39.3799096 -16.3365249 88.1036296
-39.7477411 -16.5424645 88.5048509
-39.3369049 -16.7335644 88.2452503
-56.4470626 -7.8701582 -83.1081867
-39.5821445 -14.9206519 87.4484107
-40.0364622 -14.8366541 87.7321959
