# 3D Systems, Inc.
# New Model
-63.1971657 -12.0064085 -82.5888887
-64.2285049 -11.0727390 -83.0137134
-62.7311990 -11.3320807 -82.8415900
-63.0041435 -10.5996160 -83.1591189
-63.5071918 -9.9958787 -83.5139826
-65.0422126 -9.9667059 -83.5119486
-64.2146915 -10.0013614 -83.5354850
-61.9369037 -11.9863907 -82.6619864
-61.7420599 -12.7511518 -82.7661529
-61.4541285 -14.1000487 -83.0871761
-61.9777143 -12.9718687 -82.8186795
-62.2532479 -10.7686287 -82.9260796
-62.3936355 -10.2426950 -83.1742734
-62.8010631 -9.9913115 -83.4143907
-61.7150515 -11.2772975 -82.6270953
-61.5400933 -10.4486477 -82.6758593
-62.0300137 -10.3794551 -82.9756111
-61.2048507 -12.4590937 -82.6382563
-60.9273762 -13.1409094 -82.8185305
-61.0368736 -11.8454816 -82.4365988
-60.7574135 -10.9138675 -82.1463391
-60.7482716 -9.8428158 -82.2347701
-61.8489087 -9.8877838 -83.0631331
-61.3225587 -9.7764796 -82.7279985
-60.6855191 -13.6841321 -83.0358118
-60.2462851 -14.1415903 -83.2425356
-60.0013919 -15.4699618 -83.5409686
-60.3479855 -14.4123612 -83.2849219
-60.3972189 -12.4953641 -82.4647397
-60.2245815 -11.6886115 -82.0171237
-60.0931309 -13.2998116 -82.8566998
-59.8924831 -10.9441336 -81.5167427
-60.0752756 -10.1203164 -81.5717429
-59.5638081 -13.7993190 -83.2099617
-59.5481582 -14.5285735 -83.5225582
-59.7756058 -12.1543407 -82.0352063
-59.5483184 -12.6586240 -82.3296681
-59.4541281 -11.6117531 -81.5276504
-59.3071319 -10.9810513 -81.0551122
-59.4169013 -10.2897286 -80.9296519
-59.1850840 -13.1780785 -82.7326253
-59.2362210 -12.1950721 -81.8552002
-58.8623174 -11.3264937 -80.9632689
-58.7601215 -11.8969511 -81.4014822
-59.1781698 -15.1540237 -83.7641954
-58.6017370 -15.8579405 -84.0054452
-57.5082451 -17.2018260 -84.1556937
-58.0821261 -16.5712666 -84.0615705
-59.2284203 -14.1286217 -83.4640190
-58.8662364 -14.5305963 -83.6936310
-58.7703809 -13.7647567 -83.2802430
-58.5935153 -12.5716999 -82.0690468
-58.5632101 -15.1888728 -83.9842185
-58.7615333 -10.6997322 -80.5124268
-58.4139749 -13.1751383 -82.7656537
-58.3146885 -11.5605528 -80.8606520
-58.4482960 -11.1591723 -80.5817246
-57.9847656 -12.0609580 -81.2957883
-58.2797267 -10.9264217 -80.3127363
-58.2263693 -10.6077362 -80.0924376
-58.4387481 -10.2031771 -80.0732598
-58.8718019 -9.9965278 -80.3657472
-58.2597889 -14.1882859 -83.6756825
-57.6822273 -13.5689732 -83.3084658
-58.2921170 -14.7016300 -83.9374959
-58.0880232 -15.5816190 -84.2157453
