# 3D Systems, Inc.
# New Model
-60.7150011 -19.3169992 -85.7210010
-60.9360002 -17.7400000 -85.9490037
-60.1940155 -18.5199566 -85.7912526
-59.7747453 -19.2431491 -85.7748166
-59.5592260 -20.1189779 -85.7636034
-59.0804890 -21.5059407 -85.5396092
-60.1966828 -17.9141760 -85.8555883
-60.1894446 -17.4780767 -85.9356672
-60.1954833 -16.9346184 -86.0381499
-61.4739992 -15.2599998 -86.2430036
-60.5655573 -16.3466074 -86.1212090
-61.0985607 -16.1097199 -86.1442685
-59.7074330 -18.1285497 -85.7955739
-59.6252345 -18.6644588 -85.7680514
-59.8004051 -17.6540222 -85.8672634
-59.7169958 -17.1825755 -85.9571323
-60.1640455 -15.5235548 -86.1732289
-61.9320013 -12.8110005 -85.7959986
-61.1075722 -13.8988225 -86.0225856
-61.7028363 -13.3464159 -85.8995467
-60.4823232 -14.5305060 -86.1399472
-60.0342527 -16.2919983 -86.1219242
-59.6748143 -16.6296177 -86.0543847
-59.1839962 -19.7783373 -85.8726278
-59.0881929 -18.9741496 -85.8257562
-59.1656268 -20.6181090 -85.7783183
-59.2296906 -20.2289317 -85.8439952
-58.9827746 -20.8440758 -85.7795402
-58.7468036 -20.8603255 -85.8548731
-58.3496317 -21.1121924 -85.9167129
-58.2734384 -21.7244513 -85.6539458
-59.2004359 -18.3375664 -85.7838243
-59.0670481 -17.5448451 -85.8178586
-58.9223877 -20.3914940 -85.9009475
-58.7446056 -19.4782130 -85.9491602
-58.7015301 -19.9599694 -85.9890953
-58.4938787 -18.2608683 -85.7694075
-58.3718754 -18.9947970 -85.9256834
-59.3032464 -16.9064961 -85.9633982
-58.2270399 -17.5844580 -85.6272429
-58.3082996 -17.0261227 -85.6694877
-58.8249639 -16.7294852 -85.8867764
-58.3649129 -20.4397272 -86.0502422
-57.6929748 -18.5014252 -85.7833326
-57.7897914 -17.9412812 -85.5693296
-58.2039431 -19.7215248 -86.0739946
-57.6501302 -19.2288551 -86.0580727
-57.8128844 -21.3157423 -86.0593021
-57.7514842 -20.7988713 -86.1855373
-42.3812829 -15.7423932 85.5255425
-42.0716926 -16.1710475 85.2160752
-42.1078242 -15.3854033 84.9906728
-57.4649982 -21.7540003 -86.1300007
-57.7712767 -20.2365201 -86.2013325
-58.7814599 -22.2001858 -84.4551548
-58.2930334 -22.6903036 -83.3078548
-58.2390018 -23.7659998 -82.4370012
-57.9772443 -22.0234860 -83.6280063
-58.1139997 -21.9299998 -84.7669989
-57.9976439 -22.6567052 -82.8890875
-57.6395839 -22.8650589 -82.4665949
-57.3838092 -23.5516634 -82.2161138
-57.0630282 -24.2143050 -82.0693523
-56.3660003 -25.3330003 -81.8450004
-57.3900007 -21.4469992 -84.1830000
-57.4888997 -21.8913406 -82.7800706
-57.3873930 -21.1831685 -83.3655372
-42.2863290 -15.1636582 85.5821520
