# 3D Systems, Inc.
# New Model
-64.9780035 -7.9180002 -92.8990021
-65.0438070 -7.3855212 -92.6593021
-64.6844134 -7.4460250 -92.5060809
-65.5430034 -7.0560002 -92.8149968
-65.0207475 -7.0776213 -92.4833119
-64.1481727 -7.6939599 -92.5673991
-63.9761686 -8.1223231 -92.8001255
-63.7925193 -8.6331209 -92.9769576
-63.5809973 -9.7239995 -93.2300016
-64.6993369 -7.1471250 -92.3344716
-64.8444295 -6.5678689 -92.2401175
-65.3919503 -6.6198958 -92.5199091
-64.2840713 -7.2014607 -92.2980681
-63.5097846 -7.9402057 -92.7251577
-63.4601638 -8.4005082 -92.8950161
-63.5746643 -7.3399278 -92.4461484
-63.9177859 -6.5948907 -92.1852440
-62.9640222 -8.9912144 -93.0920467
-62.7610832 -9.7918641 -93.2941362
-62.5590011 -10.6429998 -93.5240015
-63.0595088 -8.3030621 -92.9139033
-62.8816783 -7.7238260 -92.8325728
-63.1007478 -7.0234328 -92.6120505
-63.4365827 -6.9176783 -92.3361778
-62.3164475 -9.5730638 -93.2812467
-62.3806380 -10.0304643 -93.3766812
-62.4893717 -8.4448354 -93.0586234
-62.2487515 -9.0382555 -93.1951702
-62.4954849 -7.1103671 -92.9571837
-61.9781800 -7.8726923 -93.1678489
-61.8838444 -10.1169534 -93.4277177
-61.1396208 -10.8607151 -93.5672075
-59.9960014 -12.6649998 -93.8050002
-61.1243993 -11.3257747 -93.6253294
-61.6575778 -9.4696498 -93.3542401
-60.4176112 -4.2733341 -91.7973369
-59.8180033 -4.2044283 -91.5518254
-59.9258393 -4.5789839 -91.8416232
-59.0859875 -2.9444108 -96.1179584
-59.4583154 -2.3774893 -95.6031904
-59.5031232 -2.4725352 -96.1861759
-59.6031062 -0.0238709 -93.9561352
-59.6405938 -0.4192739 -93.6034322
-59.4119020 -0.0909510 -94.2899734
-59.7896650 -1.6927877 -95.6700668
-59.7938411 -2.0262413 -96.0397795
-59.6592836 -0.6911870 82.5954229
-60.0186251 -0.7086770 82.3299140
-59.9274933 -1.1455880 82.5464055
-59.9956214 -1.1561353 82.5185925
-60.0354820 -1.1814928 82.4678540
-60.0470789 -1.4421822 -96.0346311
-67.3581213 -7.6085916 96.5596065
-66.8420792 -8.0020931 96.7664346
-66.7809919 -7.5599370 97.0077887
-66.7433962 -8.6958585 96.6411680
-67.1502426 -7.0040803 96.8924761
-68.5061291 -6.3253180 96.7524275
-67.5947368 -6.6426867 96.7807993
-59.8386526 -1.4770486 -95.7858711
-66.2439987 -10.0090001 97.0700011
-67.0917258 -9.5626693 96.8212932
-65.8309981 -11.5879998 97.0169976
-58.6468652 -2.4900243 -95.6451669
-59.3232848 -2.9140238 -95.9892347
-58.9455031 -2.5569128 -95.6540480
-66.4778352 -8.1459396 97.0182866
-66.4808303 -7.7784830 97.2162411
-66.3752630 -7.4825692 97.4700898
-66.7321011 -6.8927729 97.3384976
-66.5940419 -7.4659577 95.9200189
-66.7531565 -6.9969543 96.1227119
-66.3572401 -7.4184947 96.3969976
-66.6893795 -7.0886901 95.3636989
-66.5260032 -7.8910002 96.0849971
-66.4598718 -7.7695427 95.5829322
-66.2807748 -8.5931439 96.9022065
-66.4436817 -6.9330717 96.5467691
-67.0447126 -6.5039922 96.1690173
-67.0267716 -6.5151467 95.6858099
-66.7974651 -6.5586180 96.4540839
-57.1588390 -2.1464399 84.3068510
-56.7444637 -2.3369882 83.7606415
-56.9398850 -1.8945500 83.7366283
-66.2759990 -8.4640002 96.0690007
-65.7799989 -7.8490004 96.6819972
-66.2258193 -7.9325680 97.3977149
-66.5038377 -7.4506979 95.2362940
-66.2207901 -7.8017674 95.1355919
-66.1360025 -8.2768817 95.4825655
-65.9448951 -8.4728375 97.3510370
-66.3076118 -7.2115175 94.7896689
-65.8156425 -8.4273340 95.1723829
-65.7054931 -8.0971187 94.7682261
-65.9126863 -7.5872433 94.6481153
-65.7609105 -7.7583604 97.8427604
-66.1342368 -6.9167227 97.8860557
-65.9451783 -7.0418301 96.7157707
-55.5680841 17.1386041 90.6811133
-56.1804436 16.5112969 90.9358710
-55.8191612 16.5556204 90.5835703
-66.1057755 -9.1477484 97.0361382
-66.0730004 -9.2630005 96.2679982
-65.8241436 -9.0320818 95.7885608
-65.8937097 -8.6553404 95.5360532
50.6224781 10.0430092 3.2432964
50.7514253 9.6062580 2.9854181
50.2839908 9.8249661 2.8624334
-66.0009980 -10.0459997 96.7449993
-65.8044890 -10.7934102 96.8137532
-65.5296370 -8.9094369 97.4693149
-65.7418370 -9.4373319 95.9506333
-65.6482428 -9.8373182 96.0871056
-65.3892905 -9.5833102 95.6922770
-65.3643608 -8.9416215 95.1973572
-54.8803285 16.3384546 89.2705992
-54.5643233 17.0370061 89.6272883
-55.2297942 16.4055564 89.7316784
-65.6251535 -10.7091768 96.5573713
-65.5948967 -10.2230748 96.2431431
-65.0760010 -8.7820003 97.5480005
-65.1843995 -8.7948078 97.7220088
-65.3797835 -8.5688559 94.8058590
-65.6199008 -11.1889057 96.7500061
-65.3315783 -11.6390605 96.6157988
-64.5309985 -12.5700003 96.1150005
-65.4166043 -7.7961413 94.3976119
-65.6250715 -7.1558892 94.2613706
-65.2770028 -7.9619996 96.8440026
-65.3326213 -7.1984725 96.8298167
-65.7157600 -7.1444833 98.1182307
-65.3279871 -7.2461795 98.2306376
-65.0344342 -7.9003563 98.1586874
-65.2366579 -8.3395578 94.5314243
-65.3038844 -11.1090038 96.4140594
-65.3430372 -10.3208208 96.0500389
-65.5646995 -6.5957489 98.2392281
-64.7941083 -8.0266306 94.2390040
-65.0632828 -7.4087391 94.1212028
-64.7388920 -10.1675587 95.5695733
-64.9222955 -10.7508237 95.9557146
-64.8949891 -11.7568243 96.2900743
-64.8680851 -9.5194299 95.2693522
-64.9817958 -8.6461874 94.6186930
-64.6102056 -9.0873027 94.8011279
-64.8083389 -7.3349923 98.3831137
-64.8350567 -6.6224174 98.4513313
-65.2339980 -8.7420000 97.3860025
-64.7935346 -7.9645924 97.0225632
-64.8001805 -7.3967921 96.8997702
-64.7922158 -11.2654250 96.0743204
-64.3600002 -8.1660002 97.0769972
-64.3889979 -8.2109999 98.2559994
21.3480312 -31.8156108 57.5073548
21.7220858 -31.5630548 57.0454039
21.4277115 -31.1916173 57.1224615
-64.7420809 -6.5936339 96.8857184
-65.5328929 -6.4141033 96.8427062
-64.5317733 -8.5811159 94.3982601
-64.2751679 -11.7256772 95.8405435
-64.3944368 -12.2298710 96.0009843
-64.4806325 -7.8576691 98.3306989
-64.3007308 -7.6237251 96.9373137
-64.5230412 -7.2981869 93.9682275
-64.1451702 -7.7404971 93.9982086
-64.2375126 -8.2602454 94.1677764
-64.9479926 -6.8803374 93.9524844
-64.5582005 -9.8364353 95.2892080
-64.4051284 -9.6123544 95.0612724
-64.1416386 -7.5115310 98.5654593
-64.1720816 -6.8864943 98.7376347
-64.2708540 -10.9314192 95.6170931
-64.3788949 -7.1461871 96.8916640
-64.1966835 -10.0372443 95.2067450
-64.2463490 -10.4368031 95.4240039
48.9303656 7.9472456 -3.5773998
49.5867580 7.8559313 -2.7876447
49.5738238 7.8078490 -3.7757077
-64.1865060 -12.6669249 95.8888605
-63.9590025 -13.4220002 95.7570001
-63.8654530 -8.9059370 94.4070071
-64.1075671 -9.4361482 94.8083550
-63.9644340 -7.2245784 93.8787833
-64.2143711 -6.6326861 93.8146338
21.9414402 -31.0022533 56.4340129
22.4539451 -31.2290508 56.0108572
21.8852237 -30.5960476 56.0684018
-64.4460022 -8.5340003 97.5729972
-63.6140928 -8.5003059 97.7147669
-63.6719987 -8.3579998 98.1590003
-63.6439994 -8.3140004 97.0100015
-63.7922361 -12.4543961 95.6437364
-63.9100894 -7.2921617 96.8893766
-64.1562566 -6.8564215 96.8849212
-64.0695915 -9.7378958 94.9714556
-63.6470020 -8.2270000 98.3349979
-63.6009127 -7.7741677 96.9181582
-62.9070029 -8.3659999 96.8860015
-63.7265518 -11.4872679 95.4629704
-63.7806132 -11.9175054 95.5696255
-63.6822134 -8.1740515 94.0600336
-63.5043234 -7.8034308 98.7783298
-63.5420680 -7.2650891 99.0830958
-63.8461038 -10.4907341 95.2293277
-63.6278838 -10.9780086 95.2845812
-63.5393113 -7.6027913 93.9081386
-63.5965988 -9.8348893 94.7959498
-63.2479563 -10.5816592 94.9518830
-63.2321239 -13.1271267 95.4254642
-62.9903153 -13.6675499 95.3868106
-61.9510002 -14.5629998 95.0940028
-63.3907765 -6.9064707 93.8020200
-63.3337721 -7.3249498 96.9035700
-63.6767969 -6.9162482 96.8928486
-63.3413047 -11.9660469 95.3450277
-63.0209744 -12.5625143 95.2735171
-63.1059557 -8.6073373 94.1047519
-62.9878789 -9.3587628 94.3441167
-63.2672682 -8.4068356 98.3333364
-63.0080029 -8.7930001 97.5980014
-63.1133616 -11.3188280 95.1064378
-62.9270002 -8.4610004 96.9050005
-63.1491020 -8.0419919 93.9551145
-62.8855526 -7.7486858 96.9070792
-63.0381852 -10.1291388 94.6812332
-63.0433038 -9.8257354 94.5579037
-63.1628782 -7.7012414 99.2195979
-62.9407391 -8.2221078 99.0372449
-62.8872216 -7.5855069 93.8393250
-62.7880394 -7.4736476 99.8219997
-63.3406043 -6.9816015 99.4167179
-63.6916980 -6.6240337 99.1737396
-62.7450123 -7.1242684 97.0223621
-63.2462576 -6.9918945 96.9239846
-62.7823696 -10.8631123 94.8222205
-62.7808049 -10.4403384 94.6836472
-62.6488179 -13.5790054 95.2365547
-62.7041981 -13.0909737 95.1981917
