# 3D Systems, Inc.
# New Model
-58.7540008 -29.3830000 -86.1409977
-59.4739988 -27.7999993 -86.5259990
-57.9910763 -28.4911059 -86.4044651
-58.8956587 -28.3416770 -86.4074826
-58.3195463 -27.3576807 -86.8514851
-59.6299991 -25.4250001 -86.9700015
-59.0106212 -26.7301574 -86.8860036
-58.7700009 -31.8839997 -85.4749978
-58.1897050 -30.4725505 -85.7589245
-57.7029139 -30.9364907 -85.5220631
-58.3110005 -33.8120013 -85.0379989
-57.7614270 -32.7455737 -85.0736946
-57.4047826 -31.8097509 -85.1958692
-57.4860908 -29.7821295 -85.8519226
-56.9481179 -28.8431160 -86.1926824
-56.9754951 -27.7914498 -86.8627504
-57.2675578 -33.6125605 -84.7828388
-57.7340014 -34.8259993 -84.7420022
-56.9478609 -32.6412730 -84.8636255
-56.3588329 -34.2664421 -84.4607502
-55.8499061 -35.1834036 -84.3328685
-55.2849993 -36.3899991 -84.2180029
-55.9705421 -35.3889689 -84.3606889
-56.6056371 -30.8838934 -85.2612630
-56.0739636 -29.5753814 -85.6314078
-56.6642843 -29.7308452 -85.6981725
-56.0231395 -28.5185035 -86.2517953
-56.3338548 -33.3076008 -84.5434144
-56.5547533 -31.8973996 -84.9301592
-55.8154695 -27.8791431 -86.8782327
-55.9825525 -27.2191651 -87.5777230
-57.6323569 -26.9091595 -87.2516632
-56.8029396 -26.8031396 -87.5908285
-56.1993532 -32.4914046 -84.6582651
-55.5674173 -33.8135399 -84.2384174
-55.2769527 -34.6787088 -84.1816738
-55.5727482 -31.7090563 -84.6611485
-55.4199927 -30.5319708 -85.0156471
-55.4937609 -32.8824408 -84.3189433
-55.0769344 -28.8062654 -85.6909603
-54.9013950 -29.6587981 -85.1701796
-55.1572293 -28.1293038 -86.3661766
-55.1059693 -27.7390201 -87.0807171
-55.4820523 -27.4607204 -87.4980539
-55.0490357 -33.4752500 -84.0469822
-54.7689907 -34.0746939 -83.9709938
-55.1614463 -35.6491506 -84.2039585
-55.2601367 -35.2267772 -84.2063278
-54.8424013 -32.2968140 -84.1895342
-54.7510013 -31.0373437 -84.5811367
-54.6982661 -31.6659138 -84.3344182
-54.7731109 -32.9819247 -83.9769840
-54.6626300 -36.0555016 -84.1533840
-54.6340011 -36.9910002 -84.2100009
-54.7372736 -35.3429317 -84.1197893
-54.3591864 -34.7393937 -83.9774832
-54.5616560 -33.5203968 -83.8209614
-54.2451963 -33.9331105 -83.7322846
-54.2928167 -34.2797041 -83.8540122
-54.6094775 -30.3328726 -84.7867355
-54.4945635 -28.1192698 -85.8542770
-54.5082949 -29.0750172 -85.2451697
-54.3054380 -28.5244547 -85.3979960
-54.2804599 -32.5850546 -83.8332176
-54.3372706 -33.1071615 -83.7320313
-54.3961227 -27.6967101 -86.5164250
-54.2211235 -31.9639966 -84.0173587
-54.1280508 -33.4740169 -83.5995972
-54.1128218 -30.6414086 -84.4620988
-54.3029793 -29.8677403 -84.8272741
-54.1789383 -30.2360281 -84.6461505
-54.1049168 -31.3314460 -84.2026845
-54.3110259 -29.4204205 -84.9962011
-54.2359687 -35.6899463 -84.0921253
-54.1874133 -35.2839865 -84.0454251
-53.9340302 -28.9589725 -84.9853158
-53.9082289 -36.2047665 -84.0916038
-53.1617068 -36.8437059 -83.9763805
-52.6590012 -37.9649997 -83.7529972
-53.2960854 -37.3289995 -83.9398652
-54.0985204 -28.0619487 -85.5154395
-53.8969375 -27.4829920 -85.6921151
-53.6968783 -28.1190854 -85.1228759
-53.7907705 -34.3304165 -83.7671831
-53.9191179 -35.0640714 -83.9947090
-53.8873300 -34.7766504 -83.9262381
-53.8861603 -33.7977000 -83.5479870
-53.8811572 -32.9779685 -83.5210755
-53.7868291 -33.4456861 -83.4347159
-53.6806881 -35.5404876 -84.0563998
-53.6272563 -27.8216992 -87.5708759
-54.4146672 -27.6682694 -87.4591544
-54.1105494 -27.6265834 -87.9727900
-53.7137464 -27.3581054 -86.8780538
-55.0318435 -27.4052676 -87.7709016
-54.5827858 -27.3366254 -88.0570039
-53.5851419 -32.2170220 -83.5807025
-53.9083630 -29.5414496 -84.7540721
-53.9149791 -30.0033428 -84.5989659
-53.9694317 -30.3040389 -84.5275596
-53.8089834 -31.7117311 -83.9201510
-53.5280555 -30.8861304 -84.0625092
-53.6915772 -30.3092059 -84.3705758
-53.5247587 -33.2263112 -83.3042562
-53.4188971 -32.8257196 -83.2966939
-53.6526032 -31.3894637 -83.9679539
-53.2733835 -28.7770890 -84.7117901
-53.5412207 -29.2573329 -84.6715197
-53.1721637 -28.2405838 -84.7743303
-53.1197563 -27.5797546 -84.8443434
-53.5236113 -27.3879971 -85.1448178
-53.4618348 -29.7477841 -84.4382867
-53.0700237 -36.0851213 -84.0645507
-53.4818657 -34.9403173 -83.9790404
-52.9555418 -35.4174115 -84.1212049
-53.4189492 -33.7238051 -83.4019929
-53.2637499 -34.5350616 -83.8785842
-53.2713048 -34.1809429 -83.6702883
-52.9747568 -33.1964046 -83.0754265
-53.0198552 -32.5661823 -83.1048563
-53.5964482 -27.7109686 -88.2510170
-53.2864891 -28.0428585 -88.0216360
-52.9935770 -28.2313600 -87.7673775
-53.0002639 -27.8829094 -87.4038860
-53.0333929 -27.4722856 -87.1738791
-53.0496053 -27.9327706 -88.4192809
-53.1451292 -27.4645016 -88.5698199
-54.0412255 -27.1473117 -88.3915275
-53.5653420 -27.3474585 -88.4780586
-53.2136299 -30.2455705 -84.0874016
-53.4983091 -31.6530690 -83.7699026
-53.1062819 -31.5922499 -83.4988356
-52.9904701 -32.0974626 -83.2176730
-53.1550013 -29.2815957 -84.4640583
-52.8868623 -34.8151028 -84.0799883
-53.3706099 -31.3323289 -83.8161185
-53.1296022 -31.0943294 -83.7158114
-53.0473888 -30.6823943 -83.7955922
-52.8524369 -29.6077430 -84.1008648
-52.6069999 -28.5870004 -84.6119970
-52.6814796 -29.0385336 -84.3903869
-52.5740013 -28.2799993 -84.7370028
-52.7698398 -28.3139478 -88.2407203
-52.2894152 -35.8973965 -84.1631293
-52.4108522 -36.5634859 -83.9610472
