# 3D Systems, Inc.
# New Model
-54.7240488 -35.3153720 -84.0493590
-55.2170016 -37.0609984 -84.5749974
-56.2530011 -34.2629999 -84.2339993
-55.4037616 -35.8853228 -84.3634531
-55.3699955 -36.2590849 -84.4377354
-54.3869659 -36.4282317 -84.2190385
-55.1407076 -34.0895131 -83.9832500
-54.3958917 -34.2611410 -83.7776065
-54.0720746 -34.8566137 -83.7731808
-54.0783107 -35.9407477 -84.0323940
-53.8857542 -35.4071259 -83.8689581
-53.9828837 -37.1591449 -84.3302533
-53.8407452 -37.9884243 -84.5731944
-53.9969988 -39.3100008 -85.2050036
-54.3957688 -37.6944505 -84.6093521
-59.1269992 -26.1840001 -85.3250027
-59.1159984 -23.2040007 -85.5749995
-58.0913424 -24.3531968 -85.9558433
-58.7058403 -24.3486129 -85.6711864
-58.7213337 -25.1428038 -85.5987370
-58.1105910 -27.4068881 -85.3770077
-58.2000017 -28.8769994 -85.0920007
-57.5277917 -26.7021563 -85.6821835
-57.3982261 -25.3973510 -86.0926658
-58.5381873 -25.3755301 -85.6544375
-57.8961596 -25.9162709 -85.7887343
-59.0480007 -21.7819996 -85.6150016
-57.6476753 -22.9439493 -86.2755775
-58.2304485 -22.6651989 -85.9995708
-58.2776517 -23.4736614 -85.9410465
-57.1043417 -21.3488117 -86.5350515
-58.0576248 -21.9021942 -86.0832781
-57.4932173 -22.1725032 -86.3498300
-57.8588545 -20.0069454 -86.1273929
-57.5376637 -20.7615662 -86.3070637
-58.0253787 -21.4895867 -86.0969126
-58.9589998 -18.5039993 -85.4770020
-58.3297759 -19.7582562 -85.8711153
-58.9696765 -20.1892052 -85.5659992
-57.4505217 -27.7567692 -85.4355618
-58.5570000 -31.2930010 -84.6310034
-57.0990592 -29.6939891 -84.9309117
-57.1592264 -29.7070295 -84.9286690
-57.9414554 -29.8483800 -84.9049389
-57.7169992 -32.5220004 -84.5469981
-56.5293841 -31.1281197 -84.5553130
-57.8653738 -31.8854116 -84.5788643
-57.0105985 -30.2079916 -84.8028660
-57.6752424 -30.8781303 -84.6802220
-57.0420250 -28.4533408 -85.2821097
-57.0971854 -24.1499022 -86.4507332
-56.1848357 -27.2467993 -85.7422277
-56.6779450 -26.0897782 -86.1396119
-56.1938584 -32.5956680 -84.3053237
-56.6654950 -32.2185457 -84.4281912
-56.9698699 -32.9659507 -84.4087452
-56.5835796 -24.7987080 -86.5896791
-56.4396381 -25.3869109 -86.4914805
-56.5009862 -22.5813519 -86.8338943
-56.6752888 -23.3912487 -86.7346972
-56.1519563 -28.6865365 -85.1715580
-56.0129397 -29.7332332 -84.8235190
-55.8384657 -21.8111072 -87.0942548
-55.7932816 -20.5359533 -87.0623812
-56.7854047 -19.8726170 -86.6349116
-56.1689623 -24.0665693 -86.8964419
-54.8812300 -31.8410993 -84.0943754
-56.0286827 -32.0059210 -84.3372047
-55.4582551 -33.2177393 -84.0833858
-55.1185310 -30.2404873 -84.5209435
-55.1803298 -30.7555292 -84.4079480
-55.1315099 -28.9319586 -84.9217996
-55.8395013 -25.8456543 -86.5128562
-56.1080389 -23.2809652 -86.9971290
-55.6959584 -22.7816217 -87.1716142
-55.3947873 -28.0819070 -85.3029788
-55.8228493 -24.9481108 -86.8704766
-54.8936799 -26.3253320 -86.4295885
-54.6340495 -27.3999423 -85.4913071
-55.1047660 -27.1059312 -85.7789665
-55.5859618 -23.5786401 -87.1885493
-55.4220639 -24.3216176 -87.1734545
-55.2267581 -25.4765358 -86.9127810
-55.2513190 -24.9135438 -87.1207640
-55.0363064 -23.1312215 -87.4117315
-55.0817661 -23.8669571 -87.3581097
-55.1047847 -22.3119836 -87.3883441
-54.7103584 -21.3744920 -87.4634534
-54.9751632 -24.6101730 -87.2976109
-55.0622009 -24.2590494 -87.3265862
-54.7866188 -25.2103433 -87.2118846
-54.8115335 -25.7149879 -86.9761109
-54.7343269 -24.2245570 -87.4446407
-54.5223542 -24.7005131 -87.4471441
-54.5962788 -23.6698296 -87.5385776
-54.5634292 -33.2390368 -83.8084295
-54.8478104 -28.1699821 -85.1613358
-54.6431802 -25.5890395 -87.1247351
-54.4693694 -25.4869964 -87.2375295
-54.2688034 -25.1443032 -87.4371305
-54.6994396 -22.6368159 -87.5364020
-54.4367619 -23.0613258 -87.6103938
-53.9862476 -30.4824319 -84.1743127
-54.1450121 -29.3691717 -84.5304802
-54.1234314 -32.4738584 -83.7339982
-53.9078899 -31.9359861 -83.7679058
-53.8209267 -31.3602313 -83.8893726
-54.6016879 -22.1594349 -87.5547677
-54.4454083 -25.8931741 -87.0019048
-54.2138368 -28.2845423 -84.9124491
-54.1127995 -24.2261291 -87.6472294
-54.1218817 -23.4980267 -87.6907110
-53.9722256 -26.6125891 -85.9037191
-53.7338853 -27.4890866 -85.0362480
-53.8396500 -27.0126462 -85.3897333
-54.2817935 -22.5140005 -87.6539201
-54.0504232 -26.3122991 -86.5879208
-53.9931431 -33.6915702 -83.5972726
-53.6274649 -33.0757350 -83.4764391
-54.1430302 -25.5613383 -87.3402357
-54.1721210 -24.7633439 -87.5646174
-53.7452102 -24.9729902 -87.6723751
-53.9784171 -25.3010392 -87.5088125
-53.5790399 -34.2506804 -83.5507363
-53.5778664 -23.6172453 -87.8196508
-53.3390231 -24.3444927 -87.8513828
-53.8402088 -22.9084939 -87.7596065
-54.1811474 -21.9702441 -87.6513496
-54.3741547 -19.9274365 -87.4988288
-55.1284999 -20.5680560 -87.2833878
-53.8482741 -21.5042979 -87.6780003
-53.8771637 -20.8864696 -87.6380503
-58.9220002 -15.5959995 -85.0109980
-57.5401783 -16.7655386 -85.9585181
-57.7253215 -16.7690851 -85.8583525
-58.5851260 -17.3507798 -85.4876786
-58.5449375 -16.6333709 -85.3896216
-57.1673103 -18.5364373 -86.3545090
-57.5545989 -19.2709398 -86.2206146
-57.5576052 -19.2708857 -86.2191468
-58.0934323 -18.3764156 -85.8836025
-58.1941083 -17.8982634 -85.7766792
-58.8359982 -12.9540004 -84.1619968
-58.3326928 -14.1085479 -84.9094316
-57.9315908 -14.5551031 -85.3130296
-57.6218776 -15.3572327 -85.6906325
-58.1997111 -15.8079993 -85.4431018
-57.6025136 -13.3494167 -85.1047859
-58.2079999 -10.4850000 -83.1919983
-57.5321279 -11.8457042 -84.4774246
-58.5700683 -12.6392031 -84.1748714
-58.1916384 -11.6617717 -83.8862434
-57.9850972 -12.9095195 -84.6707821
-56.9592342 -10.6033264 -84.2044652
-57.0939556 -10.6503647 -84.1292515
-57.4060008 -8.4419996 -82.1390003
-57.0299104 -9.0260794 -82.9694346
-57.6371066 -9.7273495 -83.0406323
-56.9401085 -9.6968319 -83.6088359
-57.1057536 -14.3965464 -85.7548341
-56.8169057 -12.3306159 -85.2132589
-56.5410554 -13.3246118 -85.7568830
-56.6688627 -11.4234230 -84.8882273
-56.5285422 -15.4929245 -86.3070637
-55.9233241 -17.1140563 -86.7876485
-56.8654425 -17.7562423 -86.4069164
-56.8792485 -17.7532658 -86.3998383
-56.8999276 -16.4893195 -86.2395391
-55.6939431 -18.9638250 -87.0321989
-56.1317913 -18.9947616 -86.8443027
-56.3353561 -18.0141889 -86.6776332
-55.9995286 -17.6890176 -86.7991522
-56.1910048 -7.7628614 -82.4352130
-56.0219996 -6.1670002 -80.5720016
-56.3198477 -7.3156268 -81.7451626
-56.4558432 -7.2421692 -81.5224126
-56.2844500 -8.8118128 -83.4153146
-56.1085753 -9.6377218 -84.1945112
-56.2947989 -14.3442759 -86.1988962
-56.4012118 -11.8408306 -85.2756575
-56.1775900 -10.6246676 -84.7730413
-56.0116805 -11.3804033 -85.2850974
-56.0466126 -12.2723747 -85.6594667
-55.8913425 -13.6421928 -86.2137228
-55.9148714 -12.9991900 -86.0044956
-55.9881665 -14.9042252 -86.4927396
-55.6232892 -14.3344002 -86.5214989
-55.9334494 -15.3054651 -86.5942463
-55.6697026 -15.7741290 -86.7633447
-55.6837432 -8.7951906 -83.8858783
-55.5888973 -8.0525745 -83.3080858
-55.4796308 -12.5954840 -86.0753134
-55.5184670 -11.6491839 -85.6858343
-55.5784442 -12.1333906 -85.8668387
-55.6120910 -10.0487806 -84.7932845
-55.5503406 -9.1446899 -84.2539668
-55.5080809 -9.4915712 -84.5164880
-55.4048158 -6.6028778 -81.8022043
-55.3864464 -7.3308540 -82.7488899
-55.7761565 -6.9774641 -81.8788931
-55.5034876 -15.0503293 -86.7268816
-55.5533655 -13.1994337 -86.2419605
-55.6003079 -10.7349427 -85.1905048
-55.5763282 -11.1856321 -85.4439810
-55.3553887 -13.6829522 -86.4587724
-55.3558506 -8.8246213 -84.1468126
-55.1168881 -8.3689289 -83.9327574
-54.7687374 -6.7078215 -82.5715140
-55.2096963 -5.7335389 -80.6678012
-54.6636619 -5.9773480 -81.7271546
-54.9319871 -18.0035196 -87.2794613
-55.3331189 -19.6241755 -87.1755332
