# 3D Systems, Inc.
# New Model
-61.7379993 -28.0859992 -86.2890035
-61.7339984 -25.2129994 -86.8130028
-61.3280497 -26.6275331 -86.5283236
-61.1857921 -27.5196657 -86.3242298
-61.1395240 -24.3412554 -87.1043578
-61.0501915 -28.4028947 -86.1394852
-60.9240010 -29.7970008 -85.9320015
-60.8094186 -25.7923473 -86.6909474
-60.7382320 -24.9445997 -86.9500935
-60.4142249 -25.4038982 -86.8029743
-60.3953451 -27.8900564 -86.1057639
-60.3872240 -28.8214404 -85.9522894
-60.3364557 -26.7778430 -86.3692164
-60.0007996 -25.8126166 -86.6253003
-59.9790737 -25.0091031 -86.9161338
-59.8915555 -29.5652710 -85.7705623
-59.7560517 -30.2669741 -85.7448280
-59.5710017 -31.3029997 -85.9740004
-59.4072714 -28.4901690 -85.7653320
-59.3625270 -27.3941532 -86.0108361
-59.3580604 -29.9666524 -85.6118947
-59.2155457 -24.4977474 -87.0630890
-59.2129044 -26.4053419 -86.2906128
-59.0485819 -25.4159309 -86.6445750
-58.8118955 -30.3634610 -85.5219886
-58.7157682 -29.4201337 -85.4574963
-58.6749986 -31.9930017 -85.8059973
-58.5307665 -27.8070178 -85.6594071
-58.5226826 -24.8004012 -86.8336707
-58.3910085 -24.2134053 -87.0976895
-58.3721995 -31.1412867 -85.5846331
-58.3297312 -29.8924651 -85.3436887
-58.2759492 -26.9896165 -85.8730674
-58.2706705 -28.4853522 -85.4274705
-58.2548603 -30.5974856 -85.4227021
-58.2120009 -32.0970006 -85.7219994
-58.2089983 -32.8800008 -86.1240029
-58.1991971 -26.0293633 -86.2166435
-58.1228510 -30.2385986 -85.3405148
-58.0519736 -31.7148529 -85.6628194
-58.0440536 -29.2923339 -85.2685645
-58.0366477 -27.9843044 -85.4580328
-58.0320694 -25.2360236 -86.5230560
-58.0257848 -29.5598563 -85.2617398
-58.0172390 -29.0065464 -85.2819979
-57.9631217 -29.8865810 -85.2699727
-57.8384548 -27.6047755 -85.5282694
-57.8349642 -24.5707650 -86.8019536
-57.7229038 -30.6275152 -85.3832811
-57.6799065 -29.6854824 -85.2129310
-57.6535538 -30.0594456 -85.2608085
-57.6337278 -28.6624860 -85.2168873
-57.5698316 -31.2974416 -85.5618939
