# 3D Systems, Inc.
# New Model
-62.1780008 -24.2849998 -84.3520015
-61.0303730 -24.0149982 -84.1994584
-60.9590001 -25.6050006 -83.5639983
-61.2604655 -24.5255865 -84.0522200
-62.0350018 -22.8289999 -84.8840028
-62.0033070 -23.9483528 -84.4432712
-60.1698644 -24.5142002 -83.7645009
-60.3831857 -23.8204319 -84.1191784
-60.4553409 -23.0335258 -84.5156536
-61.1145906 -23.0074041 -84.6441165
-59.4189465 -25.5611073 -83.1459239
-60.0479804 -25.1853950 -83.4695026
-60.2549985 -27.7839992 -82.4460015
-59.7844385 -26.6076308 -82.8089342
-60.1482913 -27.0860642 -82.7101171
-60.2140017 -26.1018202 -83.1436515
-59.8745570 -23.7154774 -84.0005502
-59.3529008 -24.3686698 -83.5614651
-9.0405401 -72.3059848 -68.0682808
-9.3523813 -71.9119608 -68.3152676
-8.7752407 -72.0023438 -67.8362921
-60.5419986 -21.6019992 -85.4569972
-60.9254315 -22.2697426 -85.0811452
-60.9344542 -22.1327189 -85.1713568
-61.9029999 -21.4900002 -85.3829980
-61.7959984 -20.1500002 -85.8009979
-60.8865917 -20.5976479 -85.8876258
-60.5145581 -21.2251004 -85.6997967
-61.7090017 -18.8609995 -86.1139968
-60.8287416 -19.6541250 -86.1527994
-61.1939989 -13.0470004 -86.5359977
-61.7280006 -10.5710002 -86.2089992
-60.5119281 -11.2971039 -86.4243358
-61.1325391 -11.6043882 -86.3874778
-61.1874908 -11.3926474 -86.3584727
-60.3837930 -10.1755625 -86.2805620
-60.6394894 -9.4126174 -86.1032829
-60.8219989 -7.9440000 -85.7340023
-60.7853793 -8.8367276 -85.9472901
-61.6130009 -16.1780007 -86.4190012
-60.9259680 -17.7412275 -86.4285827
-61.3498762 -18.2274114 -86.2708390
-60.3756793 -18.6283197 -86.4396617
-59.9905849 -17.2896795 -86.6395533
-61.2001866 -17.0070976 -86.4332095
-60.4038127 -14.6114416 -86.6559222
-60.7832782 -14.3199405 -86.5921304
-61.3792054 -14.6605968 -86.4811838
-59.8103292 -15.7557707 -86.7287144
-59.8646440 -15.7349259 -86.7201462
-60.5479553 -16.3622722 -86.5850672
-60.5603009 -16.6772772 -86.5707695
-59.6903265 -12.0458649 -86.5923464
-60.3058115 -11.6160531 -86.4803717
-59.7009026 -13.4681687 -86.7119133
-60.3984557 -13.9421783 -86.6431370
-60.0803606 -13.0131776 -86.6377130
-59.5506653 -10.6634032 -86.4246860
-59.4944656 -14.6019356 -86.7825598
-60.1790808 -20.1492887 -86.1741155
-60.0203648 -19.4801111 -86.3692537
-61.2430014 -6.5090000 -84.9469975
-59.9807203 -6.8570538 -85.3040442
-60.7242882 -7.3114848 -85.4276791
-59.9252395 -5.7321857 -84.6987292
-60.5953261 -6.3478239 -84.9451423
-59.6799999 -4.1629998 -83.6749971
-60.6996641 -5.8010588 -84.5786408
-60.0452311 -8.8778511 -86.0418379
-60.1884350 -9.5152734 -86.1850306
-59.6248396 -7.9603009 -85.7963935
-59.6542023 -9.6178157 -86.2397924
-59.2924021 -8.8616312 -86.0878527
-53.2089993 -38.7689993 -81.9289982
-53.1699993 -38.4650007 -82.1359977
-52.7472235 -38.6890434 -81.9136351
68.0529103 -7.1789818 17.7383460
68.4921518 -6.9348216 17.9686528
68.5649961 -6.9350102 18.4931997
-52.5760017 -39.1759984 -81.5259963
65.4098019 -8.5709309 16.6415665
64.9017245 -8.7656323 16.4907593
65.4334426 -8.3970539 16.6156478
-52.6110828 -38.4500623 -82.1198449
-52.4230003 -38.0130000 -82.6629996
68.6645508 -7.6777674 18.6046623
68.4338883 -7.5619519 17.8572610
67.9665804 -7.7513368 17.6670253
67.2278777 -7.6806848 17.3216797
67.0959502 -8.0802636 17.1567928
-53.0672446 -37.4365114 -83.0378085
-53.1188399 -36.9064212 -83.1722617
-52.7586117 -37.5767350 -83.1123739
-52.2350706 -38.5057554 -82.0307061
-51.7875291 -38.6922061 -81.6771239
-51.6370870 -39.2410830 -81.0084492
-51.7786704 -38.9991142 -81.3272744
-51.0770008 -39.6949984 -80.3219974
-52.4000004 -37.8660001 -82.8659981
-51.9114807 -38.1060466 -82.4854672
-52.3429997 -37.4779999 -83.3579972
-51.6507477 -37.7547517 -82.9421952
-51.5667535 -37.4136977 -83.3562538
-51.8320613 -37.2258872 -83.5427567
-52.2171408 -37.3089574 -83.4331885
-51.5622199 -38.3530483 -82.0486471
-51.5035912 -39.0807316 -81.0956359
-51.2322187 -39.1479097 -80.8656663
-51.3835438 -38.8572328 -81.2786892
-51.1210188 -38.5034643 -81.6319287
-51.1526875 -38.0299762 -82.4243426
-51.1638634 -37.5266187 -83.1558257
-51.0433912 -37.7213806 -82.8732774
-51.4113307 -37.1655710 -83.5773721
-51.0213450 -37.2370109 -83.4426209
-51.1130206 -38.2836871 -82.0104107
-51.1216447 -36.9229019 -83.7269276
-51.5219569 -36.9733050 -83.7166458
-50.9288646 -38.7902483 -81.0710937
-50.8465283 -39.0965827 -80.5891007
-50.6448448 -38.1677784 -81.9500983
-50.4936874 -38.4133309 -81.3437700
-50.5813174 -39.1706638 -80.1489279
-50.7789999 -39.9499983 -79.7870010
-50.6022461 -39.5772718 -79.7191113
-50.7271327 -37.7706476 -82.6828629
-50.5976640 -37.9193239 -82.3756009
-50.5163744 -38.7086906 -80.7980523
-50.5905375 -38.9410257 -80.4723203
-50.5735949 -37.4272354 -83.0839798
-50.6515317 -37.1707119 -83.4172890
-50.6900549 -36.9471610 -83.6495906
-50.4415296 -39.7781022 -79.1888013
-50.2482690 -40.0387235 -78.3485621
-50.2542779 -39.4501984 -79.1737288
-50.2562523 -39.7192612 -78.8469389
-50.3063165 -39.1755253 -79.6379074
-50.2762087 -38.7246534 -80.4281682
-50.1309671 -38.8003141 -79.9598247
-49.8863682 -38.2954367 -80.8969960
-49.9348380 -38.0125307 -81.6675872
-50.0668585 -39.0646383 -79.2669207
-50.0022657 -38.8372913 -79.5418248
-50.1815304 -37.8699675 -82.1990073
-50.3149033 -37.6836024 -82.6094300
-50.0597246 -39.5160578 -78.6351040
-49.9536842 -37.4087729 -82.8153789
-50.0374101 -37.1607617 -83.1787065
-50.3404774 -37.0355397 -83.4432021
-49.8618074 -38.4717025 -80.2827701
-49.9133691 -39.1145088 -78.8386837
-49.9150194 -37.6315862 -82.4485496
-49.8950966 -39.5066850 -78.1987235
-49.7545376 -39.5744108 -77.6704773
-49.8019345 -40.1318856 -76.9652575
-49.7994311 -39.2059349 -78.4073323
-48.9004999 -39.1051210 -76.1606619
-48.8495715 -39.4046195 -75.9336427
-49.1845459 -39.4593254 -76.4529333
-48.6355014 -38.9656983 -75.8791119
-48.9963926 -40.1517823 -75.7896677
-48.7198718 -39.5526290 -75.7256523
-48.5629514 -39.2156243 -75.6912008
-48.9842519 -38.9535837 -76.4511749
-48.7395748 -38.7613103 -76.1822686
-49.7522950 -38.7365334 -79.1355893
-49.6626161 -38.4757631 -79.7180161
-49.7331358 -37.7176777 -82.1173862
-49.5236143 -38.7628563 -78.4456506
-49.6347100 -39.1630344 -77.9898986
-49.3680313 -38.1660983 -80.3022385
-49.4570211 -37.9384868 -81.3055933
-49.2340475 -37.9682966 -80.8669701
-49.1881855 -39.0487909 -76.8629983
-49.4654290 -39.4136161 -77.0946220
-49.2934659 -38.3388437 -79.0429190
-49.2026620 -38.1594226 -79.6882510
-49.4621620 -39.1346179 -77.5030255
-49.2219962 -37.6130566 -81.7851648
-49.4580530 -37.4039039 -82.4533477
-48.8579795 -38.7236439 -76.4244869
-48.9015467 -38.6440717 -76.7294019
-49.5066680 -37.0472856 -83.0256045
-49.8600751 -36.8216597 -83.4536701
-48.7218276 -38.5587588 -76.4033794
-48.4958403 -38.4397730 -76.1826113
-48.4516732 -38.6238657 -75.8929551
-48.4265089 -39.4540392 -75.5428895
-48.0771214 -39.6236144 -75.3001124
-47.5430004 -40.0229990 -74.8670027
-49.3725389 -38.8082080 -77.8328329
-49.2396094 -38.5469906 -78.0496821
-49.1690151 -38.3947007 -78.4023777
-49.3316911 -39.0869826 -77.1882460
-49.1487384 -38.7294441 -77.3516297
-48.5129692 -38.2629670 -76.5841454
-48.2568964 -38.1714292 -76.2347057
-48.1719561 -38.3215509 -75.9181902
-48.7127267 -38.2808298 -77.1720707
-49.1805896 -38.5797806 -77.7636543
-48.9138253 -38.2848680 -77.8808445
-49.0098521 -37.0432474 -82.6682895
-48.9998758 -36.7507227 -83.0609426
-49.3365377 -36.6181098 -83.4175944
-48.8620214 -38.0796790 -78.6123201
-48.8282032 -37.9624106 -79.3077424
-48.8464162 -37.9113443 -79.9766928
-48.9572920 -37.2644477 -82.2343528
-48.9285924 -37.8906168 -80.4871321
-49.0589850 -37.7533697 -81.2406689
-48.7631075 -37.6988649 -80.8633789
-48.6707687 -37.4828465 -81.3401639
-48.5977940 -37.2276902 -81.8519741
-48.0933636 -37.9131995 -76.4943063
-48.2702665 -37.9078463 -76.9919977
-48.5754907 -36.9572006 -82.3492706
-48.6618988 -36.7350541 -82.7881247
-48.4218672 -37.9123166 -77.5804147
-48.4769158 -37.8536545 -78.2025382
-47.9158498 -37.9793830 -76.0931596
-48.4220050 -37.7362445 -78.8602531
-48.2962094 -37.6027077 -79.6117485
-48.4763160 -37.6317352 -80.3430974
-47.6926714 -37.6492813 -76.3388798
-47.4924967 -37.7389006 -75.9638473
-47.6929024 -38.1514467 -75.7185966
-48.2693128 -37.3811238 -80.8546692
-47.8194468 -37.5800356 -76.8144801
-47.9622260 -37.5774130 -77.3914382
-48.1233709 -37.6290418 -77.8999627
-48.0584539 -37.5326276 -78.4092471
-47.9474999 -37.4263413 -79.0012553
-48.1812842 -37.1465348 -81.3980028
-47.8066653 -37.2113697 -80.2046508
-47.7547310 -37.2749083 -79.5092136
-48.0651669 -36.8164517 -81.9310024
-47.6616956 -37.3030715 -77.9391453
-47.6792045 -37.2770503 -78.5565451
-47.7872081 -37.0305739 -80.9298679
-47.2958945 -36.9538292 -79.6618685
-47.2928882 -36.7770381 -80.5428401
-47.3563299 -36.9280428 -80.1239014
-59.4477579 -27.3643751 -82.3731795
-59.9620007 -29.0409997 -81.7560032
-59.8036982 -28.2957572 -82.0400789
-59.6273728 -27.9480666 -82.1436122
-59.3715981 -26.8468987 -82.5920478
-59.2393167 -26.4586415 -82.7214494
-59.3254603 -28.4003001 -81.8753541
-59.3869984 -30.5020008 -81.8850026
-59.0308458 -29.7169760 -81.8247274
-59.0137020 -29.0202685 -81.7279145
-58.9917377 -26.9339848 -82.4479088
-59.2248514 -27.8659016 -82.0623115
-58.8121116 -27.5189262 -82.1222812
