# 3D Systems, Inc.
# New Model
-53.3960015 -35.6899984 -84.0599984
-51.8832952 -36.4885256 -83.6440474
-51.7570339 -37.5361219 -83.3437890
-52.0846099 -35.4251489 -83.9681774
-52.0070009 -38.8580002 -83.0970034
-52.1856025 -37.5088863 -83.4299326
-52.0160235 -37.5775732 -83.3829865
-53.8390018 -34.5209986 -84.4649971
-52.7706146 -34.7333439 -84.3278170
-51.2563512 -37.2429043 -83.2934901
-51.4413454 -35.9350927 -83.6550370
-51.1080585 -36.6239659 -83.3719447
-51.0891043 -38.5759287 -82.9090178
-50.8040190 -37.8646851 -82.9843953
-50.9862006 -39.7381000 -82.5259909
-51.1349998 -40.3049998 -82.2070017
-51.0062315 -39.2724834 -82.7003494
-37.6510546 1.3976012 -71.8507320
-38.4437963 0.8827472 -72.8397444
-39.0882678 0.6530090 -71.4706555
-38.7518443 0.7859643 -72.0353872
-50.7830568 -35.9192453 -83.3906531
-51.0661602 -35.0178182 -83.7504938
-50.5791903 -37.2597687 -83.0291733
-50.2852350 -40.2315110 -82.2848752
-50.4099093 -39.6623947 -82.4471191
-50.4786298 -39.0395708 -82.6012939
-50.4742041 -38.4362824 -82.7267691
-50.4515916 -36.5577005 -83.0983743
-50.3409989 -40.9130007 -82.0000023
-50.9390011 -41.7159982 -82.0999965
-51.0479994 -41.0160013 -81.9609985
-50.8119985 -42.4599983 -82.4100003
-50.3891036 -42.1739481 -82.4539810
-50.2824411 -41.8488458 -82.4084058
-50.2455235 -41.4698608 -82.3035017
-49.9431156 -42.6250435 -82.7049017
-49.5991297 -43.3456451 -82.8532204
-49.6149994 -44.4860011 -82.9709992
-50.1371771 -35.9631330 -83.0543488
-50.3041483 -35.3614539 -83.3310485
-50.0755645 -37.8429852 -82.6389194
-50.4205599 -37.6565047 -82.8835815
-49.9202684 -42.1548858 -82.6340839
-49.9917977 -38.6212133 -82.4675635
-50.1533002 -36.9619690 -82.8651041
-50.2861477 -37.5364795 -82.8457624
-50.1470156 -37.3457521 -82.7947855
-49.9131866 -39.2755084 -82.3559612
-49.6866442 -39.8802385 -82.2898000
-49.9147922 -36.4985354 -82.7907324
-49.6519990 -40.5710004 -82.3040009
-49.6616811 -40.2335823 -82.3132321
-49.8691872 -41.6975282 -82.5565085
-49.7725867 -41.1915034 -82.4631676
-49.3883975 -42.4874946 -82.8795806
-49.5527238 -41.9866666 -82.7659145
-49.7525521 -37.1018499 -82.5450867
-49.6443138 -35.9420069 -82.6892331
-49.7706570 -35.4686342 -82.9411373
-49.6310107 -38.2332355 -82.2836310
-49.3896492 -37.6656279 -82.1361020
-49.4543687 -42.9567173 -82.9091817
-49.4741201 -38.8025604 -82.1428150
-49.0120500 -43.9906381 -82.8945115
-49.1845012 -43.2061516 -82.9664543
-49.0218177 -43.4816554 -82.9352289
-49.4028851 -41.5507145 -82.7675462
-49.4576655 -36.4462659 -82.3929459
-49.4288281 -39.4238941 -82.1510851
-48.9552394 -40.1305147 -82.4019462
-48.9951558 -39.8491435 -82.1035802
-49.1198264 -41.0108492 -82.8447789
-48.9410013 -40.2220003 -82.9650015
-48.8456897 -44.6703732 -82.9105824
-48.9029996 -45.4690009 -83.0420032
-49.4712628 -35.5491303 -82.6375708
-49.3285023 -35.0066200 -82.6776773
-49.8189554 -34.9493660 -83.1854343
-49.2011048 -35.7367247 -82.2506920
-41.1316529 -2.0024600 -76.8519193
-40.9449972 -1.7418246 -76.3187781
-40.4284596 -1.7064631 -76.8023580
-49.0664802 -42.9050140 -82.9859823
-49.2943116 -36.9749777 -82.1364224
-49.0196534 -36.4884809 -81.9130093
-34.1304652 0.7589360 -72.4574625
-34.3344919 0.6447106 -72.6403221
-34.2325792 0.6916527 -72.5086555
-49.0949415 -42.0032777 -82.9444081
-48.9641130 -41.5440612 -82.9855725
-34.0739675 0.9725583 -72.7080777
-49.2834710 -38.2676497 -82.0106193
-49.0142778 -39.2171033 -81.8504691
-49.0917824 -38.6112668 -81.8500295
-43.9325683 -34.0954624 79.2391822
-43.5664728 -34.2882462 79.5455351
-43.5484946 -34.5195718 79.1242868
-48.8891304 -37.2043066 -81.7003548
-48.8657653 -38.0860977 -81.6344619
-48.5256128 -42.4860008 -83.0228031
-48.8324761 -38.7442112 -81.6160440
-57.5059988 -23.2180003 -84.1209963
-56.7395054 -21.5637404 -84.5995992
-56.4613417 -22.6471890 -85.1040781
-56.8028390 -22.3785639 -84.6932754
-57.3120005 -20.2179998 -83.6419985
-57.0469871 -21.2192591 -84.1732323
-57.1028851 -22.0836401 -84.3112469
-56.5449782 -23.8693319 -85.1495266
-56.7089990 -25.5159996 -85.0989968
-56.8516590 -24.5314389 -84.8831683
-56.1153404 -21.5134658 -85.2603614
-56.2229976 -20.2360246 -84.7978741
-56.5895699 -20.4150788 -84.4572708
-55.9513643 -23.3925469 -85.6809691
-56.0294613 -24.5796014 -85.6666267
-55.8043122 -22.3427657 -85.7053474
-56.4839989 -26.9210003 -85.1180032
-55.9009835 -25.8144494 -85.7091546
-55.8364168 -28.2381289 -85.4202732
-55.9919998 -29.9759991 -85.0469992
-55.5155054 -27.1558352 -85.8259574
-55.5554405 -21.4769766 -85.7955590
-55.7850376 -20.8362509 -85.4419991
-55.4971024 -23.9902362 -86.1134231
-55.2624390 -22.9399055 -86.2178579
-55.4625764 -24.8985365 -86.1360282
-54.9480096 -28.8047437 -85.9571472
-55.5728786 -28.9834850 -85.4917839
-54.8648611 -30.1454049 -85.7344419
-55.3733148 -29.6135433 -85.5180919
-54.5052886 -31.2422924 -85.5763108
-54.1960001 -32.7790007 -85.0979984
-55.1126525 -31.2848315 -85.1013437
-54.9849458 -25.8000419 -86.3912180
-55.3742722 -22.1057013 -86.0586688
-55.1820472 -21.6627400 -86.1470327
-55.1077351 -21.1075582 -86.0753953
-55.4132015 -20.7922142 -85.7679248
-55.1689379 -24.3655760 -86.3782018
-55.0081804 -23.7769540 -86.4651650
-54.9975522 -22.1223030 -86.3461718
-55.0274961 -24.8538572 -86.4580050
-54.4296019 -27.2542164 -86.5688995
-54.9987368 -27.1364655 -86.1890540
-54.9946949 -27.2712540 -86.1712992
-54.6786450 -23.2487414 -86.6325051
-54.6713807 -22.5617718 -86.5874812
-54.8007041 -21.5207469 -86.3732025
-54.7804236 -24.3174173 -86.6209492
-54.5950904 -23.8098837 -86.7146105
-54.6173714 -24.9041505 -86.7000893
-54.1345030 -26.1194408 -86.8863314
-54.3774143 -25.3936648 -86.8159235
-54.5347556 -29.7208782 -86.0772654
-54.5553975 -30.0967935 -85.9883353
-54.4443987 -30.4062236 -85.9787241
-54.4307269 -30.7818744 -85.8487859
-54.2624928 -23.5090517 -86.8605524
-54.2050339 -22.9071509 -86.8454203
-54.2043969 -24.2029242 -86.9141072
-54.5965657 -21.9680425 -86.5721554
-54.2235263 -21.4532074 -86.6494700
-54.5943752 -20.8370723 -86.3254890
-53.8643152 -28.4080375 -86.7447183
-54.1611612 -28.1049740 -86.6000950
-53.7223704 -26.8106591 -87.0515034
-53.5256341 -27.5303870 -87.0715678
-53.9238080 -29.4559468 -86.5288004
-54.1945323 -22.2054645 -86.7824554
-54.1905463 -24.8809326 -86.9389772
-53.5841286 -23.3844183 -87.1073976
-53.8714156 -24.6397983 -87.0917514
-53.6672212 -24.1891406 -87.1512666
-53.7663288 -22.5480106 -86.9776830
-54.1001298 -30.1669296 -86.2752050
-53.8045466 -25.2846349 -87.1060118
-54.0851802 -31.2115997 -85.9197006
-53.9850369 -31.9861881 -85.6047720
-53.8557172 -31.6621065 -85.8607292
-53.9449602 -30.8254249 -86.1752704
-53.6140576 -21.8125004 -86.9264603
-53.7139550 -21.2014262 -86.8096426
-53.9350808 -20.6508730 -86.5998939
-52.6919402 -33.5497335 -84.9011242
-53.9712608 -33.6736962 -84.7754478
-53.5882488 -32.1360677 -85.7942030
-53.0749299 -32.5632468 -85.7935771
-52.7343228 -33.5073471 -84.9287063
-53.6311343 -31.4315036 -86.1357898
-53.5920374 -30.1122610 -86.6137818
-53.6022484 -30.5523165 -86.4927843
-53.1785600 -22.4413536 -87.1181339
-53.3669628 -26.0767527 -87.2561261
-53.2053150 -24.0707882 -87.2988850
