# 3D Systems, Inc.
# New Model
-65.6109974 -29.2770006 -77.5009990
-65.6090006 -27.7960002 -77.8430030
-64.6288842 -28.4596626 -77.6374266
-64.7457913 -30.0227441 -77.4044171
-64.6339878 -30.6198485 -77.3755535
-64.5957217 -29.7577307 -77.4154216
-64.8960024 -31.7480005 -77.2380009
-64.4187331 -29.2514786 -77.4658546
-65.1080608 -26.3842549 -78.2649145
-64.8706108 -27.0046834 -78.0650452
-65.8620000 -25.0680000 -78.6779970
-65.5715838 -26.7130490 -78.1722516
-64.3207133 -27.4089873 -77.9122263
-64.4356236 -26.4198054 -78.2312453
-64.7561774 -25.6248210 -78.4918070
28.4828171 -36.7999673 -54.6710491
28.9159026 -36.9144492 -54.4207729
28.5875350 -37.4734998 -54.3511957
-64.1431734 -30.3906389 -77.3937851
-64.2087907 -31.3401148 -77.4146616
-64.1636252 -31.7929350 -77.4576366
-64.0266687 -32.1910158 -77.5539130
-63.9613867 -32.8334942 -77.6827782
-63.9040023 -34.1029987 -77.9360011
-64.0571490 -29.7932252 -77.4027184
-63.8111830 -28.1901713 -77.6453912
-63.9814734 -28.8062543 -77.5142610
-63.5676384 -26.4734980 -78.1595409
-63.9840811 -25.6142281 -78.4749389
-63.2888898 -27.4883099 -77.8052062
-63.4985119 -30.1311836 -77.4261355
-63.6263192 -29.3700229 -77.4260610
-64.2035007 -30.8736693 -77.3906708
-63.8367385 -31.0748816 -77.4572790
-63.5879785 -30.7102930 -77.4537548
-63.5359883 -31.8414681 -77.6383728
-63.5952950 -32.6370448 -77.7474716
-63.3968934 -33.3633125 -77.9199675
-63.4041354 -28.7262667 -77.4880201
-63.2017627 -28.2110777 -77.5845274
-63.1073788 -34.0682715 -78.0628100
-62.7420023 -34.9740013 -78.1520009
-63.3777305 -31.1459452 -77.5510669
-63.0742311 -32.7601619 -77.9283494
-62.8835186 -26.7741270 -77.9769793
-63.3074343 -25.6199855 -78.4179047
-62.7448708 -25.9600393 -78.1984776
-63.1249920 -30.6725390 -77.5398016
-62.9419535 -30.1676486 -77.5024742
-63.0319715 -29.6799857 -77.4312839
-62.9912391 -29.1346554 -77.4126649
-62.8126562 -28.5999198 -77.4570405
-62.8551245 -31.2634744 -77.7473152
-62.7268553 -32.0934244 -77.9575557
-62.7430007 -33.5449986 -78.1380013
-62.6700297 -27.9986672 -77.5833800
-62.5146255 -27.3136850 -77.7660981
-62.7420023 -34.2589989 -78.1570002
-62.4439940 -32.8345969 -78.1757832
-62.5464693 -30.4500218 -77.6983351
-66.5400028 -16.6049991 -80.4240033
-66.6700006 -14.9160000 -80.4089978
-65.4966980 -16.1971543 -81.2487230
-66.4097816 -15.3955771 -80.5853754
-66.3900003 -12.2320000 -80.5390030
-65.8698231 -13.5342423 -81.0039565
-66.1211759 -13.0948741 -80.7860345
-65.6754971 -14.5953605 -81.1839029
-65.8310130 -15.3138312 -81.0327232
-65.8515170 -17.6869724 -80.9017569
-66.1450028 -19.2000009 -80.5099979
-66.3103759 -17.7368801 -80.5098861
-66.0889149 -17.1042178 -80.7473361
-65.4583499 -12.3605849 -81.1733007
-65.9449995 -9.9109998 -80.2109987
-65.7087266 -11.2955132 -80.7847604
-65.6356215 -18.5122509 -80.9996724
-65.2744770 -17.7821759 -81.3450292
-65.5503049 -19.1517528 -80.9490085
-65.6489283 -19.5106752 -80.7604492
-65.3937235 -20.0081374 -80.6827694
-65.5919984 -20.6359997 -80.2280009
-65.5089319 -13.8432747 -81.3141540
-65.4329360 -13.2717192 -81.3228935
-65.0417730 -14.7860404 -81.6112980
-65.2986690 -14.1865611 -81.4666525
-64.9350360 -23.6406438 -79.1075602
-65.5969977 -22.0810007 -79.5800015
-65.5133352 -23.2547820 -79.2252049
-64.3883720 -24.6316660 -78.7912756
-64.7406206 -24.4236421 -78.8612664
-65.2138665 -18.6884925 -81.2888443
-65.3651282 -19.5962451 -80.9371397
-64.6328703 -22.8697080 -79.3448389
-64.1975477 -23.5467255 -79.1172013
-64.6972507 -21.2592464 -80.1004171
-64.3376037 -22.1864264 -79.5800760
-65.0485605 -20.6437726 -80.4593414
-64.9667010 -19.8930111 -81.0980946
-64.7915900 -20.4600412 -80.7963237
-64.8701638 -17.1131417 -81.6660374
-64.4983500 -15.5214062 -81.9002911
-64.6734014 -16.4087936 -81.7994997
-65.1932508 -13.6450520 -81.5142170
-65.0678948 -13.0070420 -81.5244094
-65.1059896 -19.3246398 -81.2206417
-64.8725778 -18.3207598 -81.5793648
-64.7471249 -17.8044960 -81.7156434
-65.0033280 -14.0583897 -81.6437602
-64.7908226 -13.5376547 -81.7282870
-64.6453202 -14.1433962 -81.8354413
-64.6811873 -18.9973526 -81.6007406
-64.5321161 -12.8281815 -81.7817971
-64.9228171 -12.4299685 -81.5311745
-64.7276416 -19.5716713 -81.4234093
-64.4945800 -14.6846464 -81.9234699
-64.5773262 -19.9433286 -81.4070404
-64.6251962 -20.2494562 -81.1918005
-64.5417720 -17.4672902 -81.8644091
-64.3792897 -16.9828571 -81.9588080
-64.2351210 -19.6714047 -81.7370713
-64.6750927 -20.8124891 -80.4751143
-64.3400252 -18.3059983 -81.8974003
-64.0980750 -19.0545898 -81.9420964
-64.2465651 -13.5691985 -81.9857195
-64.0701056 -20.8547655 -80.5297568
-64.3855855 -20.5578543 -81.0960084
-64.2367974 -20.2736259 -81.5054402
-64.0119091 -12.9170790 -82.0207521
-64.0293136 -12.2106895 -81.9052160
-64.5702556 -12.1540483 -81.6702619
-64.4688830 -17.8062264 -81.8896815
-64.2375872 -14.2293386 -82.0338652
-63.9868155 -14.7431698 -82.1454898
-64.1602576 -17.6268164 -82.0425004
-63.7562349 -19.5151921 -82.0448399
-63.7989864 -20.1481637 -81.8540454
-63.8670847 -19.8074840 -81.9291770
-63.7466535 -18.6886005 -82.1473449
-63.8043731 -18.1162097 -82.1636990
-63.7349933 -19.1194080 -82.1181685
-64.1021132 -22.8882618 -79.3156400
-64.0753135 -21.5995330 -79.8425451
-64.1369894 -21.2546587 -80.0988525
-64.0406311 -16.3375624 -82.1269080
-63.8921708 -17.0699693 -82.1807235
-63.8893694 -20.6816811 -81.3158229
-63.5373518 -15.5024761 -82.3125765
-63.7813434 -14.0203107 -82.1991861
-63.6617020 -13.3315213 -82.1936056
-63.8878867 -20.4604287 -81.6573799
-63.5586306 -24.0106937 -78.9139569
-63.4608865 -24.8887911 -78.6517337
-63.6209548 -23.2183672 -79.1545883
-63.3018538 -19.2063935 -82.2784603
-63.5066330 -21.9937246 -79.5109272
-63.7490600 -22.6116367 -79.3546587
-63.6679456 -21.3080626 -79.9228549
-63.3044615 -14.5205157 -82.3679343
28.2930154 -35.9115079 -55.1512875
28.8401637 -35.5144367 -55.0631471
28.7240129 -36.0597447 -54.8730679
-63.3531213 -20.8143275 -80.1282749
-63.5027140 -20.6922926 -80.4636851
-63.2883683 -20.5877516 -80.8265954
-63.4901077 -20.6180643 -81.7867741
-63.5919943 -16.7369079 -82.3067576
-63.4123012 -16.3037628 -82.3711455
-63.5328963 -12.6646459 -82.1544304
-63.1361231 -18.3055326 -82.3922083
-63.5905266 -17.6319052 -82.2775215
-63.4428337 -17.1540026 -82.3519826
-63.2119402 -13.7493638 -82.3575556
-63.6545941 -19.8865682 -82.0247680
-63.4863675 -20.1171823 -82.0523873
-63.4782314 -20.3192346 -81.9699243
-63.3490533 -19.8384281 -82.1806118
-63.0540848 -17.4970068 -82.4662521
-63.1268695 -13.0958324 -82.3224932
-63.3082762 -21.5159021 -79.6335191
-63.1346852 -21.1603753 -79.7225237
-63.0242378 -12.5372605 -82.2705552
-63.2807612 -11.9248722 -82.0949227
