# 3D Systems, Inc.
# New Model
-63.5927320 -28.1466804 89.3993974
-63.8329983 -29.0730000 89.2419964
-63.1959289 -28.7088621 89.6216556
-64.1930029 -27.4790004 89.0740007
-63.4739995 -30.3559992 89.2169997
-63.2928386 -29.4697490 89.4848257
-63.5579601 -27.5740512 89.4206241
-63.1902292 -27.8997961 89.6376967
-63.1990135 -27.2421725 89.6218568
-63.5819286 -27.0670857 89.4002020
-63.0333796 -29.8481733 89.5906612
-62.8774613 -30.1340409 89.6306112
-62.3800009 -30.4140002 89.8590013
-51.4852405 -7.8857234 -69.9949265
-51.6253561 -8.3122812 -70.1822713
-51.9427136 -7.6400093 -70.2732429
-62.8700480 -29.3670632 89.7761211
-62.7939999 -28.1988978 89.8886919
-62.5910908 -28.7903268 90.0111347
-62.6487955 -27.4528842 89.9583623
-62.5976473 -29.9151950 89.8625180
-62.3135231 -29.4669047 90.1380256
-65.3090030 -17.2160007 88.0900025
-65.2659982 -19.9870002 88.4729996
-64.6173283 -18.6021701 88.5297433
-65.0911108 -18.9890768 88.4055644
-64.3159077 -17.9553982 88.5600299
-64.8230016 -15.6670008 87.9539996
-64.2522871 -16.5193118 88.3565396
-63.9797300 -17.3011031 88.5948017
-65.1319996 -21.5620007 88.6130035
-64.1437769 -20.9569223 88.9284238
-64.9435893 -21.2373044 88.6608586
-64.1322657 -19.2783251 88.7872875
-64.0473366 -20.0604182 88.8941437
-65.0509968 -24.3849996 88.7200013
-64.5840466 -22.9246020 88.8604149
-64.3727183 -22.2652182 88.9179111
-64.2376542 -21.7355452 88.9423341
-64.3062517 -23.5420261 88.9892578
-64.0343726 -24.1234936 89.1195461
-64.3709973 -25.0489991 88.9960006
-64.0588924 -22.8624754 89.0608281
-64.0298724 -18.5537040 88.7418091
-63.9304891 -14.1508635 87.8922492
-63.7259036 -15.0302835 88.2358477
-64.5309985 -13.1029999 87.3280019
-64.3090308 -13.6627434 87.5870734
-63.6958405 -15.7878883 88.4340033
-63.7992024 -23.4047435 89.1863108
-63.5937601 -18.0714149 88.8456628
-63.8570040 -22.2337786 89.1090706
-63.2191002 -14.3092517 88.2423669
-63.4178519 -13.6669846 87.9653320
-63.7931824 -13.1781632 87.6530260
-63.5112822 -24.6591382 89.3684477
-63.6388659 -26.2658056 89.3619806
-64.0105531 -26.4344458 89.1721398
-63.5652840 -25.4050512 89.3779919
-63.6964142 -21.6556042 89.1363174
-63.4201095 -16.5912658 88.6952430
-63.4367988 -22.7903444 89.2987698
-63.4374470 -18.8364089 88.9927894
-63.3636862 -19.6268447 89.0992135
-63.1543472 -23.6882623 89.4635618
-63.3322895 -20.4675049 89.1837180
-62.9243404 -17.4064469 89.0127048
-63.3160844 -21.2413259 89.2486423
-63.3554235 -22.0815688 89.2889723
-63.4542480 -15.3109133 88.4298459
-63.1750822 -14.9855986 88.4581357
-63.3048713 -21.6821693 89.2831683
-63.0032048 -25.2072550 89.6429792
-62.8922954 -24.4591366 89.6348804
-63.1902292 -15.4447556 88.5686874
-62.9502088 -15.9174055 88.7579620
-63.2585362 -25.8211978 89.5471051
-63.2929504 -26.7124847 89.5568132
-63.1828159 -26.2805931 89.6073431
-62.8029704 -18.3470026 89.1775638
-62.6544729 -19.1506185 89.3186629
-62.9830137 -22.3683994 89.4473493
-62.8598481 -22.8754170 89.5272344
-62.5706613 -20.0046785 89.4278362
-62.8810003 -21.7529181 89.4453004
-62.6555160 -16.5594630 88.9868736
-62.8399774 -26.6385786 89.8138881
-62.8610030 -25.9135012 89.7659436
-62.3541065 -23.9925738 89.8226276
-62.3360574 -23.1863838 89.7530541
-62.7809241 -14.6472128 88.5228589
-62.9562736 -13.6872809 88.1637707
-62.4933764 -14.1023286 88.4765238
-62.6553148 -15.2233271 88.7218043
-64.8259968 -12.2959996 86.9020000
-64.1345531 -12.6011260 87.3117447
-63.9292896 -11.9235497 87.1423259
-64.1940013 -11.0719996 86.6580009
-63.5493696 -11.2365633 87.0295763
-63.5419711 -12.5008412 87.5344127
-63.2482767 -11.8111791 87.4154717
-63.7054369 -10.2555333 86.4743516
-63.6324659 -10.6893145 86.7279321
-63.5249987 -9.0929996 85.9680027
-63.3925945 -10.1323836 86.5615979
-63.1852373 -10.6935473 86.9441256
-63.1187633 -13.0793648 87.9088566
-62.7947450 -9.8714838 86.7198110
-63.2695258 -11.0848257 87.0998651
-63.2063001 -11.3189546 87.2368738
-62.9319325 -12.4097122 87.7772421
-62.8840029 -7.9469997 85.6999978
-62.6471564 -8.6221434 86.1814618
-62.6646280 -9.1494704 86.4308923
-63.0116686 -11.0456543 87.2023925
-62.8132895 -11.3662519 87.4383673
-62.6164973 -11.8805012 87.7366439
-62.4536201 -10.7075591 87.2969329
-58.2889989 -28.8720001 -84.8990008
-58.2078993 -28.0482601 -85.0100219
-57.8036234 -28.2665882 -84.7610161
-58.7089993 -27.4030007 -85.2280036
-57.7849708 -28.7185442 -84.7318470
-57.5640239 -28.9818477 -84.7134069
-57.7440001 -29.8260003 -85.0360021
-57.6364249 -29.3369722 -84.8656073
-58.0319986 -27.5199991 -85.1960033
-57.4609414 -28.6480132 -84.5969170
-57.2986156 -29.6711475 -84.9319771
-57.3289990 -32.1489982 -86.5949988
-56.8022393 -31.0108215 -85.8996883
-57.1687073 -31.4502157 -86.1527994
-56.9292828 -30.2368160 -85.2099136
-57.2700426 -29.3222032 -84.7502649
-57.2147667 -28.2812193 -84.3416378
-57.6108098 -27.5369491 -84.6418813
-56.9295622 -28.9756563 -84.4437331
-57.3020428 -27.9903095 -85.2356404
-57.6595329 -27.6987441 -85.2885097
-57.1577735 -27.5193565 -85.5092704
-57.5103983 -27.0570591 -85.4136124
-57.0309386 -27.7570877 -83.9251503
-56.8149425 -28.2320175 -83.9119181
-56.8439625 -28.5355505 -84.1182694
-36.0570662 -0.6911755 -73.2836351
-36.6873890 -0.8710754 -73.2542425
-36.5411863 -0.4577117 -73.5257566
-57.1755581 -27.2054225 -83.8579610
-35.7228406 12.0266173 -74.2480233
-36.2091027 11.9749717 -74.2637217
-35.8395502 12.0922243 -73.7217292
-36.7757753 11.9858477 -73.5877380
-37.1390581 11.9663980 -73.3803585
-36.8920006 12.0269358 -73.2617229
-34.8355658 12.0671745 -73.6850500
-35.2240503 12.0334681 -74.1728097
-35.3989229 12.1316882 -73.4050572
-57.3120005 -26.9469991 -84.1410011
-56.6169955 -27.8235003 -85.6828988
-57.0215918 -28.2725263 -84.9888101
-56.5355942 -28.1914752 -85.4665041
-57.3870018 -32.5199999 -86.6900012
-55.9575111 -32.7672027 -86.9990513
-56.8340011 -33.4540009 -86.8809968
-55.9429862 -31.6264890 -86.5884274
-56.9776222 -31.6429622 -86.3178745
-56.3212298 -32.0354700 -86.6865590
-56.6991009 -27.4264067 -85.7850462
-56.9301620 -26.9914400 -85.7168958
-56.3342944 -30.8166593 -85.6568590
-56.0884178 -31.1971195 -86.1377716
-56.8365827 -27.3491852 -83.3776370
-56.5282106 -27.9312078 -83.4225118
-56.8951294 -29.6264570 -84.8013237
-56.5388836 -29.9878791 -84.8984048
-56.2621914 -30.3699411 -85.1595849
-56.5268323 -27.4717398 -83.0214620
-56.6409118 -27.1352418 -82.9321221
